17GK.UK,MEGAFON A
CFX.UK,COLEFAX GROUP
CFYN.UK,CAFFYNS
CF_.UK,CANACCORD GENUITY GROUP
CGG.UK,COBURG GROUP
CGH.UK,CHAARAT GOLD HOLDINGS
CGI.UK,CANADIAN GENERAL INVESTMENTS
CGLO.UK,CHAGALA GROUP
CGNR.UK,CONROY GOLD AND NATURAL RESOURCES
CGS.UK,CASTINGS
CGT.UK,CAPITAL GEARING TRUST
CGW.UK,CHELVERTON GROWTH TRUST
CHA.UK,CONCHA
CHAL.UK,CHALLENGER ACQUISITIONS
CHAR.UK,CHARIOT OIL & GAS
CHFP.UK,ETFS LONG CHF SHORT USD
CHG.UK,CHEMRING GROUP
CHH.UK,CHURCHILL CHINA
CHL.UK,CHURCHILL MINING
CHOC.UK,UNITED CACAO SEZC
CHOO.UK,JIMMY CHOO
CHRR.UK,CHINA RERUN CHEMICAL GRO
CHRT.UK,COHORT
CHT.UK,CONSTELLATION HEALTHCARE TECHNOLOGIES
CHW.UK,CHIME COMMUNICATIONS
CIC.UK,CONYGAR INVESTMENT COMPANY
CICG.UK,CIC GOLD GROUP
CICZ.UK,CONYGAR ZDP
CIFU.UK,CARADOR INCOME FUND
CIN.UK,CITY OF LONDON GROUP
CINE.UK,CINEWORLD GROUP
CIR.UK,CIRCASSIA PHARMACEUTICALS
CIRC.UK,CIRCLE HOLDINGS
CIU.UK,CAPE
CKN.UK,CLARKSON
CLA.UK,CAPITAL LEASE AVIATION
CLC.UK,CALCULUS VCT
CLCC.UK,CALCULUS VCT
CLDN.UK,CALEDONIA INVESTMENTS
CLG.UK,CLIPPER LOGISTICS
CLI.UK,CLS HOLDINGS
CLIG.UK,CITY OF LONDON INVESTMENT GROUP
CLIN.UK,CLINIGEN GROUP
CLL.UK,CELLO GROUP
CLLN.UK,CARILLION
CLNR.UK,CLUFF NATURAL RESOURCES
CLON.UK,CLONTARF ENERGY
CLP.UK,CLEAR LEISURE
CLST.UK,CLEARSTAR
CLSU.UK,CLEARSTAR
CLTV.UK,CELLCAST
CMB.UK,CAMBRIA AFRICA
CMBN.UK,CAMBIAN GROUP
CMCE.UK,UBS ETC COMPOSITE EUR
CMCG.UK,UBS ETC COMPOSITE GBP
CMCI.UK,UBS ETC COMPOSITE USD
CMCL.UK,CALEDONIA MINING
CMDE.UK,UBS ETC ON BCOM CONSTANT MATURITY INDEX EUR CURRENCY
CMDG.UK,UBS ETC ON BCOM CONSTANT MATURITY INDEX GBP
CMH.UK,CHAMBERLIN
CMHY.UK,CITY MERCHANTS HIGH YIELD TRUST
CMIP.UK,CAPITAL MANAGEMENT & INVESTMENT
CML.UK,CML MICROSYSTEMS
CMS.UK,COMMUNISIS
CMX.UK,CATALYST MEDIA GROUP
CNA.UK,CENTRICA
CNC.UK,CONCURRENT TECHNOLOGIES
CNCT.UK,CONNECT GROUP
CNE.UK,CAIRN ENERGY
CNEL.UK,CHINA NEW ENERGY
CNG.UK,CHINA NONFERROUS GOLD
CNIC.UK,CENTRALNIC GROUP
CNKS.UK,CENKOS SECURITIES
CNMI.UK,CAMPER & NICHOLSONS MARINA INVESTMENTS
CNN.UK,CALEDONIAN TRUST
CNR.UK,CONDOR GOLD
CNS.UK,CORERO NETWORK SECURITY
COA.UK,COATS GROUP
COB.UK,COBHAM
COCE.UK,UBS
COCG.UK,UBS ETC COCOA GBP
COCU.UK,UBS
COD.UK,CIE DE SAINT-GOBAIN
COG.UK,CAMBRIDGE COGNITION HOLDINGS
COLT.UK,COLT GROUP
COMS.UK,COMS
CON.UK,CONNEMARA MINING
CONG.UK,SOCIETE GENERALE EFFEKTEN GMBH
COP.UK,CIRCLE OIL
COPG.UK,SOCIETE GENERALE EFFEKTEN GMBH
COPL.UK,CANADIAN OVERSEAS PETROLEUM
COS.UK,COLLAGEN SOLUTIONS
COST.UK,COSTAIN GROUP
CPG.UK,COMPASS GROUP
CPI.UK,CAPITA
CPP.UK,CPP GROUP
CPR.UK,CARPETRIGHT
CPS.UK,CPL RESOURCES
CPX.UK,CAP-XX
CRAW.UK,CRAWSHAW GROUP
CRDA.UK,CRODA INT
CRE.UK,CRESTON
CREI.UK,CUSTODIAN REIT
CRH.UK,CRH
CRL.UK,CREIGHTON'S
CRN.UK,CAIRN HOMES
CRND.UK,CENTRAL RAND GOLD
CRNE.UK,UBS
CRNG.UK,UBS ETC CORN GBP
CRNU.UK,UBS
CRON.UK,CRONIN GROUP
CROS.UK,CROSSRIDER
CRPR.UK,JAMES CROPPER
CRS.UK,CRYSTAL AMBER FUND
CRST.UK,CREST NICHOLSON HOLDINGS
CRU.UK,CORAL PRODUCTS
CRV.UK,CRAVEN HOUSE CAPITAL
CRW.UK,CRANEWARE
CRWN.UK,CROWN PLACE VCT
CRX.UK,CYPROTEX
CSFG.UK,CSF GROUP
CSG.UK,SWEETT GROUP
CSI.UK,CASTLE STREET INVESTMENTS
CSN.UK,CHESNARA
CSR.UK,CSR
CSRT.UK,CONSORT MEDICAL
CSSG.UK,CROMA SECURITY SOLUTIONS GROUP
CTAG.UK,CLOUDTAG
CTEK.UK,CHINA CHAINTEK UNITED
CTG.UK,CHRISTIE GROUP
CTH.UK,CARETECH HOLDINGS
CTI.UK,CATHAY INT HOLDINGS
CTO.UK,T CLARKE
CTP.UK,CASTLETON TECHNOLOGY
CTR.UK,CHARLES TAYLOR
CTY.UK,CITY OF LONDON INVESTMENT TRUST
CTYA.UK,CITY OF LONDON INVESTMENT TRUST
CVBP.UK,COVENTRY BUILDING SOCIETY
CVR.UK,CONVIVIALITY
CVSG.UK,CVS GROUP
CWC.UK,CABLE & WIRELESS COMMUNICATIONS
CWD.UK,COUNTRYWIDE
CWK.UK,CRANSWICK
CWR.UK,CERES POWER HOLDINGS
CYAN.UK,CYAN HOLDINGS
CYN.UK,CITY NATURAL RESOURCES HIGH YIELD TRUST
CYS.UK,CHRYSALIS VCT
CZA.UK,COAL OF AFRICA
CZB.UK,COMMERZBANK
D467.UK,DOWNING FOUR VCT
D4LC.UK,DOWNING FOUR VCT
D4OA.UK,DOWNING FOUR VCT
